AX,AY,AZ,GX,GY,GZ
-0.6065903,1.5600967,-1.0250813,0.21525364,-0.022983804,0.09705122
-0.5408815,2.0963402,-0.09613047,0.21708624,-0.012599096,0.098883815
-0.57576835,0.9950609,-0.9841098,0.19753855,-0.007101309,0.10010554
-0.5458876,1.0044651,-1.0268073,0.18471038,-0.010155635,0.100716405
-0.5421765,1.0042009,-1.0475491,0.16088663,-0.020540344,0.10132727
-0.7324399,0.3002262,-0.49225157,0.12912165,-0.04192063,0.100716405
-0.7306565,0.3000307,-0.5138836,0.112017415,-0.056581393,0.10010554
-0.73162884,0.29985905,-0.54794073,0.09063713,-0.082237735,0.09827295
-0.5045441,0.2998476,0.9198697,0.071700305,-0.089568116,0.094607756
-0.45711076,-0.45191097,0.798471,0.07047858,-0.082237735,0.09155343
-0.54154956,0.029294968,1.2864672,0.081474155,-0.05719226,0.087277375
-0.5339552,0.02924633,1.2932588,0.096134916,-0.03214678,0.08055785
-0.19877222,-0.49031734,-1.1607331,0.10957395,-0.022983804,0.07689266
0.030564655,1.0252495,1.0874709,0.11873693,-0.029092457,0.07383834
0.49235418,1.1833887,0.7369804,0.122402124,-0.06574437,0.07078401
0.48325172,1.1835518,0.75029755,0.122402124,-0.06574437,0.07078401
0.48276424,1.1835222,0.74689037,0.122402124,-0.06207918,0.070173144
0.48276424,1.1835222,0.74689037,0.11446088,-0.06269005,0.07078401
0.39969987,-0.2123375,-1.7617011,0.088804536,-0.056581393,0.07322747
0.4076374,-0.21236897,-1.7596834,0.06009387,-0.04558582,0.074449204
0.20733139,0.16343021,-0.7859435,0.044211373,-0.039477166,0.07322747
0.019098375,-0.538146,-0.9197189,0.011835515,-0.019318614,0.078725256
-0.14419629,0.8743906,1.3665444,-0.016264288,-0.005268713,0.07994699
-0.47502518,-0.35149097,0.12694412,-0.03214678,-0.006490443,0.08361218
-0.753812,-0.41138363,-0.12798925,-0.05169447,-0.014431692,0.08422305
-0.74601626,-0.41141605,-0.13847966,-0.054137934,-0.016875152,0.087277375
-0.9843995,-1.0746193,-0.6323878,-0.054137934,-0.020540344,0.09094256
-0.9894714,-1.0745697,-0.64460254,-0.047418416,-0.018707749,0.09399689
-0.6138757,-0.9069166,0.2057634,-0.04314236,-0.018707749,0.094607756
-0.2957102,-0.36581326,1.1441678,-0.029703323,-0.020540344,0.09705122
0.2615268,0.034062386,1.0723639,-0.022372939,-0.011377365,0.09644035
0.8326775,-0.7966347,-0.20187283,-0.008933905,-0.008323039,0.09827295
0.8180975,-0.7965441,-0.18753509,0.001450805,0.003894266,0.09582949
