AX,AY,AZ,GX,GY,GZ
-0.04279986,-0.37726212,-0.51973,-0.36629006,0.07658723,-0.030008756
-0.1430068,-0.22635269,0.20607966,-0.3571271,-0.025427265,-0.009850202
0.105841994,0.26159668,-0.45292443,-0.33819026,-0.070631295,-0.001908954
0.121729314,0.2681198,-1.081397,-0.2954297,-0.115835324,0.002367103
0.122128546,0.266819,-1.0657032,-0.16287194,-0.007101309,0.01947133
0.004298866,0.07945442,-0.11029285,-0.16287194,-0.007101309,0.01947133
0.22092766,0.3006401,-0.74018997,-0.1286635,0.03688099,0.030466905
0.21900281,0.29887295,-0.7189099,-0.07429648,0.11140655,0.04390594
0.14841977,-0.11736584,-1.5163631,-0.04925101,0.1333977,0.045738537
0.07267037,-0.030531883,-0.83749014,-0.04558582,0.12484559,0.045738537
0.03152734,0.13238716,-1.0713433,-0.06207918,0.09857838,0.043295074
0.030566096,0.12994766,-1.0358096,-0.10483975,0.028328875,0.03718642
-0.12996906,0.11865616,-0.59841835,-0.15065464,-0.049861874,0.028634308
-0.07145867,0.12609577,-1.3385096,-0.16714801,-0.07918341,0.024358252
-0.27872956,0.057149887,-1.0944413,-0.19402607,-0.10728321,0.024969118
-0.27571517,0.055306435,-1.0577543,-0.20624338,-0.07429648,0.024969118
-0.26980886,0.05383873,-1.0235453,-0.22151501,-0.037033707,0.031077769
-0.25304946,0.03229046,-0.6979338,-0.23617578,0.050320026,0.04512767
-0.09845567,0.21741009,-1.7224499,-0.26366472,0.103465304,0.05551238
-0.14563069,0.08182716,-0.7740344,-0.2813798,0.10713049,0.05673411
-0.1167939,0.27225494,-1.5680227,-0.31497738,0.05459608,0.05062546
-0.18226504,0.07474518,-0.2566852,-0.330249,0.015500706,0.044516806
-0.22334701,0.0931921,-1.7680343,-0.35651624,-0.069409564,0.02985604
-0.21543229,0.09245968,-1.727558,-0.36018142,-0.1249983,0.029245174
-0.22790772,0.31771564,-1.9577568,-0.24350616,-0.008323039,0.08666651
-0.1958625,0.6912184,0.033089206,-0.24350616,-0.008323039,0.08666651
-0.4735621,0.17674732,-0.9962509,-0.24350616,-0.008323039,0.08666651
-0.15982729,0.72260857,-0.38001698,-0.21174116,0.01488984,0.094607756
-0.1834341,0.3491392,-1.0438356,-0.17814358,0.033826664,0.09827295
-0.17819154,0.34886265,-1.0205635,-0.13477215,0.058872137,0.09094256
-0.238276,0.061478615,-0.067413494,-0.12560916,0.06009387,0.08361218
