AX,AY,AZ,GX,GY,GZ
-0.011480887,-0.79179096,1.2364914,-0.04925101,0.005115997,-0.015958855
0.50369495,-1.9011908,1.9951353,-0.044974953,0.006948592,-0.022678372
-0.048050918,-0.09002018,-0.17434359,-0.052916203,0.005726862,-0.020845776
0.08603855,-0.64395523,1.6544921,-0.04192063,0.005726862,-0.02023491
0.07497911,1.134325,-1.3234687,-0.035811976,0.005115997,-0.019013181
1.5324886,-3.3652086,4.9958096,-0.03214678,0.003283401,-0.022678372
0.10819106,0.43980503,-1.7801952,-0.038255434,0.005726862,-0.025121834
0.111381084,0.43948936,-1.7794402,-0.03642284,0.005115997,-0.025732698
0.91640264,-1.2193818,-0.03151512,-0.037033707,0.006337727,-0.02695443
-0.6248353,-1.0083771,3.1129262,-0.027870728,0.010613783,-0.04589125
0.18091522,-0.22435093,0.9582255,-0.027870728,0.010613783,-0.04589125
-1.1979196,-0.5256176,0.5803237,-0.019318614,0.011835515,-0.046502117
1.5709718,-1.2311006,2.2960901,-0.008933905,0.010613783,-0.04344779
-0.62339437,-0.78841305,1.1113589,-0.001603521,0.009392053,-0.03428481
-0.014545098,2.25E-04,0.34267712,2.29E-04,0.009392053,-0.028176159
-0.020683307,3.86E-04,0.34236503,2.29E-04,0.011224649,-0.025732698
-0.018714346,0.002702713,0.3363006,-0.011377365,0.007559457,-0.025732698
-0.018714346,0.002702713,0.3363006,-0.025427265,0.00206167,-0.025121834
-0.041404024,0.74536514,1.2688954,-0.019929478,0.008781188,-0.019624045
0.53123075,-1.7192049,2.1249065,-0.012599096,0.006337727,-0.021456642
0.29796648,0.77321243,0.5276413,-0.008933905,0.005115997,-0.02695443
0.2996423,0.77555656,0.52152085,0.019776762,0.012446379,-0.045280386
1.0215098,-0.91882515,1.328965,0.047265697,0.01366811,-0.0538325
0.3450266,-0.75341415,2.450134,0.047876563,0.011224649,-0.05749769
0.29889733,-0.3586445,1.8259542,0.038713586,0.005115997,-0.06299548
0.29345134,-0.33910084,1.7758653,0.020998493,0.002672535,-0.063606344
0.8662319,-0.4159479,2.1068437,0.016111571,0.002672535,-0.06116288
0.02718801,-0.31558514,2.338335,0.006337727,0.005726862,-0.058108557
0.030397184,-0.31584072,2.3389254,0.008781188,0.003283401,-0.04466952
-0.03363193,0.52795315,1.4911745,0.049098294,0.004505131,-0.012293663
0.32923707,-0.6327505,2.4092994,0.06314819,0.004505131,-0.019624045
-0.18043607,-0.101011276,1.3861997,0.06314819,0.004505131,-0.019624045
0.48248425,-0.65555096,3.2775974,0.06314819,0.004505131,-0.019624045
0.6390955,0.015782356,1.3564434,0.07108945,0.005726862,-0.024510968
